stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
"de:08115:4512:5:A","Herrenberg ZOB","48.59412845","8.86391047","","","","Pde:08115:4512"
"de:08115:4745:1:3","Nebringen Postamt","48.56225491","8.84806419","","","","Pde:08115:4745"
"de:08115:4745:1:4","Nebringen Postamt","48.56235003","8.84797436","","","","Pde:08115:4745"
"de:08121:1113:0:1","Heilbronn Hbf/Busbahnhof","49.14184568","9.20696809","","","","Pde:08121:1113"
"de:08121:1113:0:6","Heilbronn Hbf/Busbahnhof","49.14179279","9.20704894","","","","Pde:08121:1113"
"de:08121:1113:0:Hp7","Heilbronn Hbf Busbahnhof","49.14168701","9.20598893","","","","Pde:08121:1114"
"de:08121:1114:3:1","Heilbronn Hbf/Willy-Brandt-Platz","49.14258613","9.20827065","","","","Pde:08121:1114"
"de:08121:1114:3:2","Heilbronn Hbf/Willy-Brandt-Platz","49.14268604","9.20890846","","","","Pde:08121:1114"
"de:08121:1114:3:3","Heilbronn Hbf/Willy-Brandt-Platz","49.14253912","9.20848625","","","","Pde:08121:1114"
"de:08121:1123:91:1","Heilbronn Harmonie","49.14162236","9.22305692","","","","Pde:08121:1123"
"de:08121:1123:91:2","Heilbronn Harmonie","49.14151658","9.22373964","","","","Pde:08121:1123"
"de:08121:137:2:2","Heilbronn Neckar-Turm","49.14271542","9.21347190","","","","Pde:08121:137"
"de:08121:137:3:1","Heilbronn Neckar-Turm","49.14259789","9.21406478","","","","Pde:08121:137"
"de:08121:173:1:1","Heilbronn Pfühlpark","49.13988871","9.24166103","","","","Pde:08121:173"
"de:08121:173:2:2","Heilbronn Pfühlpark","49.14007677","9.24057407","","","","Pde:08121:173"
"de:08121:173:5:0","Heilbronn Pfühlpark (Ersatzhalt)","49.13981231","9.24164306","","","","Pde:08121:173"
"de:08121:173:5:1","Heilbronn Pfühlpark (Ersatzhalt)","49.14002387","9.24036746","","","","Pde:08121:173"
"de:08121:2000:1:3","Böckingen Berufsschulzentrum","49.14032947","9.18083610","","","","Pde:08121:2000"
"de:08121:2000:2:4","Böckingen Berufsschulzentrum","49.14042350","9.18208476","","","","Pde:08121:2000"
"de:08121:2001:1:1","Böckingen West","49.13935390","9.16480117","","","","Pde:08121:2001"
"de:08121:2001:2:2","Böckingen West","49.13924812","9.16609475","","","","Pde:08121:2001"
"de:08121:2001:5:3","Böckingen West (Ersatzhalt)","49.14004738","9.16453168","","","","Pde:08121:2001"
"de:08121:2001:5:4","Böckingen West (Ersatzhalt)","49.14010615","9.16450473","","","","Pde:08121:2001"
"de:08121:23:90:1","Heilbronn Harmonie/Kunsthalle","49.14283883","9.22273353","","","","Pde:08121:23"
"de:08121:24:90:1","HN Harmonie/Hafenmarktpass.","49.14218065","9.22225742","","","","Pde:08121:24"
"de:08121:26:1:1","Heilbronn Hbf","49.14296811","9.20740827","","","","Pde:08121:26"
"de:08121:3032:1:1","Heilbronn Friedensplatz","49.14125801","9.22937208","","","","Pde:08121:3032"
"de:08121:3032:2:2","Heilbronn Friedensplatz","49.14132853","9.22842885","","","","Pde:08121:3032"
"de:08121:3033:1:1","Heilbronn Finanzamt","49.14042350","9.23507638","","","","Pde:08121:3033"
"de:08121:3033:2:2","Heilbronn Finanzamt","49.14078199","9.23461824","","","","Pde:08121:3033"
"de:08121:31001:1:1","Heilbronn Techn. Schulzentrum","49.14916748","9.22161962","","","","Pde:08121:31001"
"de:08121:31001:1:2","Heilbronn Techn. Schulzentrum","49.14872679","9.22147589","","","","Pde:08121:31001"
"de:08121:31002:1:1","Heilbronn Theater","49.14632350","9.22189809","","","","Pde:08121:31002"
"de:08121:31002:1:2","Heilbronn Theater","49.14624711","9.22217657","","","","Pde:08121:31002"
"de:08121:31003:1:1","Heilbronn Industrieplatz","49.15510169","9.21782873","","","","Pde:08121:31003"
"de:08121:31003:1:2","Heilbronn Industrieplatz","49.15574794","9.21805330","","","","Pde:08121:31003"
"de:08121:31004:1:1","Heilbronn Hans-Rießer-Straße","49.16267999","9.21966129","","","","Pde:08121:31004"
"de:08121:31004:1:2","Heilbronn Hans-Rießer-Straße","49.16201620","9.21950858","","","","Pde:08121:31004"
"de:08121:31004:3:3","Heilbronn Hans-Rießer-Straße","49.16181060","9.21944569","","","","Pde:08121:31004"
"de:08121:31004:3:4","Heilbronn Hans-Rießer-Straße","49.16251551","9.21970620","","","","Pde:08121:31004"
"de:08121:31501:1:1","Heilbronn Kaufland","49.17038635","9.22454812","","","","Pde:08121:31501"
